title,published date,url,Sentiment (Manual),Keyword Count,Link Contains Matrox,Percentage (Manual),weight,Sentiment (Weighted),Difference,Normalized Difference
7 top GPUs of all time - XDA Developers,00:00.0,https://www.xda-developers.com/best-gpus-all-time/,1.5,,,37.5,1,37.5,20.07142857,100
What the King of Spain saw at ISE: a royal visit in photos - AV Magazine,00:00.0,https://www.avinteractive.com/news/industry-events-news/what-the-king-of-spain-saw-at-ise-a-royal-visit-in-photos-01-02-2023/,4,,,100,1,100,20.07142857,100
"Road to ISE 2023: Matrox Video's Keys to AVoIP, IP KVM, and Video ... - AV Network",00:00.0,https://www.avnetwork.com/news/road-to-ise-2023-matrox-videos-keys-to-avoip-ip-kvm-and-video-wall-deployments,4,,,100,1,100,20.07142857,100
BBC Studios Works with GlobalM and Matrox Video for Worldwide ... - Sports Video Group,00:00.0,https://www.sportsvideo.org/2022/11/09/bbc-studios-works-with-globalm-and-matrox-video-for-worldwide-srt-distribution-of-her-majesty-the-queens-funeral/,4,,,100,1,100,6.071428571,44
TV Tech Announces 'Best of Show' Awards for 2022 IBC Show | TV ... - TV Technology,00:00.0,https://www.tvtechnology.com/news/tv-tech-announces-best-of-show-awards-for-2022-ibc-show,3.5,,,87.5,1,87.5,6.071428571,44
IPMX's Strength is its Interoperability | AVNetwork - AV Network,00:00.0,https://www.avnetwork.com/news/ipmxs-strength-is-its-interoperability,3.5,,,87.5,1,87.5,6.071428571,44
Matrox highlights 2110 workflows for remote - RedShark News,00:00.0,https://www.redsharknews.com/matrox-highlights-2110-workflows-for-remote,4,,,100,1,100,6.071428571,44
Matrox C420 Could Be The Next King of Entry-Level GPUs - Tom's Hardware,00:00.0,https://www.tomshardware.com/news/matrox-c420-could-be-the-next-king-of-entry-level-gpus,3,,,75,1,75,6.071428571,44
Zebra Technologies Completes Acquisition of Matrox Imaging - Automation.com,00:00.0,https://www.automation.com/en-us/articles/june-2022/zebra-technologies-acquisition-matrox-imaging,2,,,50,1,50,6.071428571,44
NAB 2022 SportsTechBuzz in Review: North Hall - Sports Video Group,00:00.0,https://www.sportsvideo.org/2022/04/29/nab-2022-sportstechbuzz-in-review-north-hall/,3.5,,,87.5,1,87.5,6.071428571,44
Matrox Video Unveils New 12G/6G/3G SDI I/O Cards - TV Technology,00:00.0,https://www.tvtechnology.com/news/matrox-video-unveils-new-12g6g3g-sdi-io-cards,4,,,100,1,100,6.071428571,44
Matrox Video: Setting The Course For Cutting-Edge Content ... - Defense Daily Network,19:00.0,https://www.defensedaily.com/partner-content/matrox-video-setting-the-course-for-cutting-edge-content-management/,4,,,100,1,100,6.071428571,44
matrox adds multisystem control to extio 3 ip k - InAVate,00:00.0,https://www.inavateonthenet.net/products/article/matrox-adds-multisystem-control-to-extio-3-ip-kvm-extender,3.5,,,87.5,1,87.5,6.071428571,44
Matrox Insights: Choosing the Right Tech for Your Digital Signage ... - Commercial Integrator,45:00.0,https://www.commercialintegrator.com/digital_signage/video_walls/matrox-insights-choosing-the-right-tech-for-your-digital-signage-video-wall/,4,,,100,1,100,6.071428571,44
Zebra Technologies to Acquire the Matrox Imaging Division - TV Technology,00:00.0,https://www.tvtechnology.com/news/zebra-technologies-to-acquire-the-matrox-imaging-division,3.5,,,87.5,1,87.5,6.071428571,44
Matrox Imaging Announces New Version of Flowchart-Based Vision ... - Novus Light Technologies Today,00:00.0,https://www.novuslight.com/matrox-imaging-announces-new-version-of-flowchart-based-vision-software_N12141.html,4,,,100,1,100,4.071428571,36
VSTECS Taps HP Rack Workstations to Power Video Walls With ... - Sports Video Group,00:00.0,https://www.sportsvideo.org/2021/11/15/vstecs-taps-hp-rack-workstations-to-power-video-walls-with-matrox-d-series/,4,,,100,1,100,4.071428571,36
Case Study: Netherlands' VolkerWessels Telecom Outfits Matrox ... - Sports Video Group,00:00.0,https://www.sportsvideo.org/2021/10/19/case-study-netherlands-volkerwessels-telecom-outfits-matrox-powered-video-wall-in-network-operations-center/,4,,,100,1,100,4.071428571,36
Restrictions on Large Public Events Inspire Development of Mobile ... - Automation.com,00:00.0,https://www.automation.com/en-us/articles/august-2021/restrictions-events-mobile-vision-demo-system,4,,,100,1,100,4.071428571,36
Japan's Tokyo Sound Production Chooses Matrox Monarch EDGE ... - Sports Video Group,00:00.0,https://www.sportsvideo.org/2021/08/12/japans-tokyo-sound-production-chooses-matrox-monarch-edge-for-remote-productions/,4,,,100,1,100,4.071428571,36
Japan's Asahi Broadcasting Simplifies Control Room Operations ... - Sports Video Group,00:00.0,https://www.sportsvideo.org/2021/07/26/japans-asahi-broadcasting-simplifies-control-room-operations-with-matrox-extio-3-ip-kvms/,4,,,100,1,100,4.071428571,36
"ECA Strengthens Control Room Video Wall Options, Digital Signage ... - Sports Video Group",00:00.0,https://www.sportsvideo.org/2021/07/20/eca-strengthens-control-room-video-wall-options-digital-signage-with-matrox/,4,,,100,1,100,4.071428571,36
Front Pictures brings classic artists' work to life in traveling exhibit - Digital Signage Today,00:00.0,https://www.digitalsignagetoday.com/news/front-pictures-brings-classic-artists-work-to-life-in-traveling-exhibit/,4,,,100,1,100,4.071428571,36
Matrox QuadHead2Go Transforms Video Wall Projection at Spanish ... - Sports Video Group,00:00.0,https://www.sportsvideo.org/2021/06/14/matrox-quadhead2go-transforms-video-wall-projection-at-spanish-art-exhibition/,4,,,100,1,100,4.071428571,36
Ross Video Integrates Matrox Video's SMPTE ST 2110 NIC Cards ... - Sports Video Group,00:00.0,https://www.sportsvideo.org/2021/01/21/ross-video-integrates-matrox-videos-smpte-st-2110-nic-cards-into-xpression-graphics-engine/,4,,,100,1,100,4.071428571,36
Matrox Extio 3 IP KVMs Becomes Compatible with Ross Video ... - Sports Video Group,00:00.0,https://www.sportsvideo.org/2020/12/08/matrox-extio-3-ip-kvms-becomes-compatible-with-ross-video-xpression/,4,,,100,0.8,80,7.071428571,48
Matrox Extio 3 Adds 4K Title View for Simultaneous Control of ... - Sports Video Group,00:00.0,https://www.sportsvideo.org/2020/11/23/matrox-extio-3-adds-4k-title-view-for-simultaneous-control-of-multiple-computers/,4,,,100,0.8,80,7.071428571,48
Matrox Video Announces Matrox VERO Signal Generator - rAVe [PUBS],51:00.0,https://www.ravepubs.com/matrox-video-announces-matrox-vero-signal-generator/,3.5,,,87.5,0.8,70,7.071428571,48
ChyronHego Chooses Matrox QuadHead2Go for Prime Video Wall ... - TV Technology,00:00.0,https://www.tvtechnology.com/news/chyronhego-chooses-matrox-quadhead2go-for-prime-video-wall-graphics,4,,,100,0.8,80,7.071428571,48
ChyronHego Leverages Matrox QuadHead2Go for Broadcast Studio ... - Sports Video Group,00:00.0,https://www.sportsvideo.org/2020/10/02/chyronhego-leverages-matrox-quadhead2go-for-broadcast-studio-video-wall-designs/,4,,,100,0.8,80,7.071428571,48
Matrox Merges Graphics into Matrox Video Brand | TV Tech - TV Technology,00:00.0,https://www.tvtechnology.com/news/matrox-merges-graphics-into-matrox-video-brand,3.5,,,87.5,0.8,70,7.071428571,48
Matrox rises from the dead again with a new 4K card called the ... - Notebookcheck.net,00:00.0,https://www.notebookcheck.net/Matrox-rises-from-the-dead-again-with-a-new-4K-card-called-the-D1450-but-it-s-definitely-not-a-GeForce-RTX-2080-Ti-competitor.483719.0.html,0,,,0,0.8,0,7.071428571,48
"Matrox Unveils New Monarch EDGE 4K/Multi-HD Encoder, Decoder ... - Sports Video Group",00:00.0,https://www.sportsvideo.org/2020/07/29/matrox-unveils-new-monarch-edge-4k-multi-hd-encoder-decoder-for-remote-production/,4,,,100,0.8,80,7.071428571,48
Linux Seeing Kernel GPU Driver Support Two Decades Later For ... - Phoronix,00:00.0,https://www.phoronix.com/news/Matrox-G200-DRM-Driver,1.5,,,37.5,0.8,30,7.071428571,48
Matrox Extio 3 IP KVM Extenders Enables New Private WAN ... - Sports Video Group,00:00.0,https://www.sportsvideo.org/2020/05/29/matrox-extio-3-ip-kvm-extenders-enables-new-private-wan-support-for-remote-work/,4,,,100,0.8,80,7.071428571,48
Matrox Ships D-Series D1480 Multi-Display Graphics Card - Sports Video Group,00:00.0,https://www.sportsvideo.org/2020/05/26/matrox-ships-d-series-d1480-multi-display-graphics-card/,4,,,100,0.8,80,7.071428571,48
Graphics stalwart Matrox collaborates with Nvidia on new video card ... - TechSpot,00:00.0,https://www.techspot.com/news/83682-graphics-stalwart-matrox-collaborates-nvidia-new-video-card.html,3,,,75,0.8,60,7.071428571,48
"Former GPU Kingpin, Matrox, Collaborates With NVIDIA To Introduce Specialized Range Of New Graphics Cards - Forbes",00:00.0,https://www.forbes.com/sites/marcochiappetta/2020/01/22/former-gpu-kingpin-matrox-collaborates-with-nvidia-to-introduce-specialized-range-of-new-graphics-cards/,4,,,100,0.8,80,7.071428571,48
Moss joins multi-screen innovation in HQ lobby - AV Magazine,00:00.0,https://www.avinteractive.com/news/displays/eizo-singles-out-matrox-to-power-a-charming-artistic-video-wall-in-new-corporate-lobby-17-12-2019/,4,,,100,0.8,80,2.071428571,28
EIZO Selects Matrox QuadHead2Go for Office Video Wall - Sports Video Group,00:00.0,https://www.sportsvideo.org/2019/12/11/eizo-selects-matrox-quadhead2go-for-office-video-wall/,4,,,100,0.8,80,2.071428571,28
Matrox Acquired by Co-Founder - AnandTech,00:00.0,https://www.anandtech.com/show/14858/matrox-acquired-by-cofounder,4,,,100,0.8,80,2.071428571,28
Matrox Co-Founder Lorne Trottier Acquires 100% of Matrox Group ... - Sports Video Group,00:00.0,https://www.sportsvideo.org/2019/09/09/matrox-co-founder-lorne-trottier-acquires-100-of-matrox-group-companies/,4,,,100,0.8,80,2.071428571,28
Matrox M264 Hardware Codec Cards Establishes XAVC Validation ... - Sports Video Group,00:00.0,https://www.sportsvideo.org/2019/08/20/matrox-m264-hardware-codec-cards-establishes-xavc-validation-for-high-density-4k-workflows/,4,,,100,0.8,80,2.071428571,28
The Highly-Anticipated Matrox Monarch EDGE Encoders Now ... - TV Technology,00:00.0,https://www.tvtechnology.com/the-wire-blog/matrox-monarch-edge-encoders-now-shipping,4,,,100,0.8,80,2.071428571,28
Matrox Graphics Unveils New Multi-System Control With Extio 3 IP ... - Sports Video Group,00:00.0,https://www.sportsvideo.org/2019/05/15/matrox-graphics-unveils-new-multi-system-control-with-extio-3-ip-kvm-extenders/,4,,,100,0.8,80,2.071428571,28
Watch out for Matrox: it's quietly building some important stuff - RedShark News,00:00.0,https://www.redsharknews.com/production/item/6134-watch-out-for-matrox-it-s-quietly-building-some-important-stuff,4,,,100,0.8,80,2.071428571,28
Matrox collaborates with Siemens to deliver IP-based rail signalling ... - SourceSecurity.com,08:00.0,https://www.sourcesecurity.com/news/matrox-siemens-ip-based-rail-signalling-training-co-1546-ga-co-9825-ga.1525686189.html,4,,,100,0.8,80,-4.928571429,0
Matrox Graphics' Matrox Mura IPX 4K IP decode and display card ... - SourceSecurity.com,00:00.0,https://www.sourcesecurity.com/news/matrox-graphics-matrox-mura-ipx-4-k-ip-decode-display-card-co-9825-ga-npr.23076.html,4,,,100,0.8,80,-4.928571429,0
Matrox C900 Graphics Card with Nine DisplayPorts - guru3d.com,00:00.0,https://www.guru3d.com/news-story/matrox-c900-graphics-card-with-nine-displayports.html,4,,,100,0.6,60,-3.928571429,4
Matrox C900 single slot graphics card supports nine FHD displays ... - HEXUS,00:00.0,https://hexus.net/tech/news/graphics/90326-matrox-c900-single-slot-graphics-card-supports-nine-fhd-displays/,4,,,100,0.6,60,-3.928571429,4
Helsinki shopping centre powers 14.4m LED screen with Matrox ... - AV Magazine,00:00.0,https://www.avinteractive.com/news/video/helsinki-shopping-centre-powers-14-4m-led-screen-with-matrox-video-display-cards-25-11-2015/,4,,,100,0.6,60,-4.928571429,0
Matrox launches range of AMD-powered graphics cards - Graphics ... - HEXUS,00:00.0,https://hexus.net/tech/news/graphics/77901-matrox-launches-range-amd-powered-graphics-cards/,3,,,75,0.4,30,-1.928571429,12
Matrox announces the C-Series â€” quad and six-head graphics ... - BetaNews,00:00.0,https://betanews.com/2014/09/10/matrox-announces-the-c-series-quad-and-six-head-graphics-cards-for-windows-and-linux/,4,,,100,0.4,40,-1.928571429,12
Matrox to Use AMD GPUs in Their Next Generation Multi-Display ... - AnandTech,00:00.0,https://www.anandtech.com/show/8480/matrox-to-use-amd-gpus-in-their-next-generation-multidisplay-graphics-cards,3,,,75,0.4,30,-1.928571429,12
House of Worship Drives Triple-Screen Projection with Matrox ... - PR Web,00:00.0,https://www.prweb.com/releases/church-projection/matrox-triplehead2go/prweb11666883.htm,4,,,100,0.4,40,-1.928571429,12
Review: Matrox DS1 Thunderbolt docking station - Macworld,00:00.0,https://www.macworld.com/article/220097/review-matrox-ds1-thunderbolt-docking-station.html,3.5,,,87.5,0.4,35,-4.928571429,0
Matrox DS1 is 'world's first' Thunderbolt docking station - AppleInsider,00:00.0,https://appleinsider.com/articles/12/12/17/matrox-ds1-is-worlds-first-thunderbolt-docking-station,4,,,100,0.4,40,-3.928571429,4
Review: $249 Matrox DS1 â€“ The 'World's First Thunderbolt Docking ... - 9to5Mac,00:00.0,https://9to5mac.com/2012/12/13/review-249-matrox-ds1-the-worlds-first-thunderbolt-docking-station/,1,,,25,0.4,10,-3.928571429,4
Matrox Veos Repeater further extends digital signage content - Digital Signage Today,00:00.0,https://www.digitalsignagetoday.com/news/matrox-veos-repeater-further-extends-digital-signage-content/,3,,,75,0.4,30,-4.928571429,0
Matrox's New $600 Graphics Card - Tom's Hardware,00:00.0,"https://www.tomshardware.com/news/Matrox-graphics-gpu,5794.html",0.5,,,12.5,0.4,5,-4.928571429,0
Enjoying a slice of InfoComm,37:52.1,https://www.inparkmagazine.com/enjoying-a-slice-of-infocomm/,3.998,,,99.95,1,99.95,20.07142857,100
Live Encoding Software Market 2023 Segment [Type ...,37:52.1,https://www.hometown-pages.com/live-encoding-software-market-2023-segment-type-applications-players-regions-analysis-telestream-obs-studio-vidblasterx/,3.9956,,,99.89,1,99.89,20.07142857,100
MSI Arc A310 low-profile GPU spotted in the wild,37:52.1,https://videocardz.com/newz/msi-arc-a310-low-profile-gpu-spotted-in-the-wild,3.6176,,,90.44,1,90.44,20.07142857,100
